Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Long,1st Downs,1st Down %,20+,40+,FUM
127,Lawrence Vickers,CLE,FB,5,0.3,11,2.2,0.7,0,3,2,40.0,0,0,0
128,Garrett Wolfe,CHI,RB,4,0.2,8,2.0,0.5,0,7,0,0.0,0,0,0
129,Corey McIntyre,BUF,FB,4,0.2,5,1.3,0.3,1,2,3,75.0,0,0,0
130,Tim Castille,KC,FB,5,0.5,3,0.6,0.3,0,3,0,0.0,0,0,0
131,Greg Jones,JAC,FB,2,0.1,4,2.0,0.2,0,3,0,0.0,0,0,0
132,Cedric Peerman,CIN,RB,2,0.3,1,0.5,0.1,0,1,0,0.0,0,0,0
133,Heath Evans,NO,FB,2,0.1,2,1.0,0.1,0,2,0,0.0,0,0,0
133,Mike Sellers,WAS,FB,4,0.2,2,0.5,0.1,0,1,1,25.0,0,0,0
135,Naufahu Tahi,MIN,FB,1,0.1,1,1.0,0.1,0,1,1,100.0,0,0,0
136,Ahmard Hall,TEN,FB,1,0.1,1,1.0,0.1,0,1,1,100.0,0,0,0
137,Patrick Cobbs,MIA,RB,4,0.2,0,0.0,0.0,0,4,0,0.0,0,0,0
137,Kregg Lumpkin,TB,RB,1,0.1,0,0.0,0.0,0,0,0,0.0,0,0,0
137,Moran Norris,SF,FB,3,0.2,0,0.0,0.0,0,1,0,0.0,0,0,0
137,Chris Pressley,CIN,RB,1,0.2,0,0.0,0.0,0,0,0,0.0,0,0,0
137,Leonard Weaver,PHI,FB,1,1.0,0,0.0,0.0,0,0,0,0.0,0,0,0
142,Antone Smith,ATL,RB,1,0.1,-3,-3.0,-0.3,0,-3,0,0.0,0,0,0
143,Devin Moore,IND,RB,2,0.5,-2,-1.0,-0.5,0,1,0,0.0,0,0,1
